"0","1","2","3","4","5","6","7","8","9","10","11","12","13"
"minerID","start","end","total_energy_records_found","totalSealed_GiB","sealingEnergy_upper_MWh","datapointAverageCapacity_GiB","difference_totalperiod_hours","datapointAvgStorageTime_GiB_hours","datapointAvg_Storage_energy_MWh","integrated_GiB_hr","storage_upper_integrated_MWh","total_energy_upper_MWh_recalc","REC_purchase_with_margin"
0,0,,,,,,,,,,,,
0,0,,,,,,,,,,,,
0,0,,,,,,,,,,,,
"f01198583","2021-07-01","2021-10-01",29439,6711040,403.5317625100697,1245069.6038857375,2208,2749113685.3797083,23.90989057767606,2301194639.466665,20.01420032943567,817.4437082802453,1635
"f01198583","2021-10-01","2022-01-01",19678,14454976,869.1710885825086,14748567.658536585,2208,32564837390.04878,283.22644596938045,38690564819.733345,336.5037888931588,2326.9525135280383,4654
"f0102670","2020-06-01","2021-01-01",573,12672,0.761961558048768,6048.834782608696,5136,31066815.44347826,0.27019768654922893,5343484.266666668,0.04647393259834836,1.5602804969489343,4
"f0102670","2021-01-01","2021-04-01",15829,855840,51.461267348520956,394812.6564750474,2160,852795337.9861023,7.417024375833941,116610791.99999978,1.0142000644513314,101.2776521070365,203
"f0102670","2021-04-01","2021-07-01",131113,9702208,583.3893248258539,5301624.77892521,2184,11578748517.172659,100.70395107497676,15219623696.533304,132.36976671892526,1381.4150466814237,2763
"f0102670","2021-07-01","2021-10-01",63919,10562464,635.1161242324828,15553841.454044838,2208,34342881930.531002,298.69064835259053,36900570284.266754,320.93565371371716,1845.1799314361658,3691
"f0102670","2021-10-01","2022-01-01",11,0,0,21133152,2208,46661999616,405.8338186912862,46661999616.00001,405.83381869128624,783.2592700741824,1567
"f020330","2020-06-01","2021-01-01",58368,21389856,1286.1622478060913,10408658.471406544,5136,53458869909.144005,464.9482983303063,49323319467.4666,428.9801391869315,3310.2248068965337,6621
0,0,,,,,,,,,,,,
"f020330","2021-04-01","2021-07-01",4,0,0,21389856,2184,46715445504,406.2986540819442,46715445504,406.2986540819442,784.1564023781523,1569
"f020330","2021-07-01","2021-10-01",3,0,0,21389856,2208,47228802048,410.7634744564711,47228802048,410.7634744564711,792.7735057009892,1586
"f020330","2021-10-01","2022-01-01",1,0,0,21389856,2208,47228802048,410.7634744564711,47228802048,410.7634744564711,792.7735057009892,1586
0,0,,,,,,,,,,,,
0,0,,,,,,,,,,,,
"f0733242","2021-04-01","2021-07-01",77329,21102656,1268.8930433023345,12325932.532102263,2184,26919836650.111343,234.13013150242807,19091769519.99995,166.04701456511805,2769.4343116841837,5539
"f0733242","2021-07-01","2021-10-01",6,0,0,21102656,2208,46594664448,405.2481839438141,46594664448,405.2481839438141,782.1289950115612,1565
"f0733242","2021-10-01","2022-01-01",14,0,0,21102656,2208,46594664448,405.2481839438141,46594664447.99999,405.248183943814,782.1289950115611,1565
0,0,,,,,,,,,,,,
"f0435971","2021-01-01","2021-04-01",10712,774720,46.583558889799676,393330.5954825462,2160,849594086.2422998,7.389182100953504,60750654.39999999,0.5283671995636618,90.92601735247123,182
"f0435971","2021-04-01","2021-07-01",177541,20144128,1211.2571935301303,9096191.531020654,2184,19866082303.749107,172.78145193334967,21193354046.933205,184.3251441113579,2693.4739116480723,5387
"f0435971","2021-07-01","2021-10-01",1,0,0,20918848,2208,46188816384,401.7183980157137,46188816384,401.7183980157137,775.3165081703274,1551
"f0435971","2021-10-01","2022-01-01",4,0,0,20918848,2208,46188816384,401.7183980157137,46188816384,401.7183980157137,775.3165081703274,1551
0,0,,,,,,,,,,,,
0,0,,,,,,,,,,,,
0,0,,,,,,,,,,,,
