"0","1","2","3","4","5","6","7","8"
"minerID","start","end","totalSealed_GiB","sealingEnergy_upper_MWh","integrated_GiB_hr","storage_upper_integrated_MWh","total_energy_upper_MWh_recalc","REC_purchase_with_margin"
0,0,,,,,,,
"f0242156","2021-01-01","2021-04-01",10112,0.608029930160128,2463592.5333333323,0.021426624956706313,1.21485115137549,3
"f0242156","2021-04-01","2021-07-01",12992,0.7812030115348481,48175213.06666667,0.4189947033133095,2.316381589656944,5
"f0242156","2021-07-01","2021-10-01",0,0,51013631.99999999,0.4436813092076125,0.8563049267706921,2
"f0242156","2021-10-01","2022-01-01",640,0.038482906972159996,51872901.333333336,0.4511546399199855,0.9450004655018408,2
"f040137","2020-06-01","2021-01-01",23744,1.427715848667136,42060226.40000047,0.36581077612197455,3.4615063858429833,7
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f02400","2020-06-01","2021-01-01",23712,1.425791703318528,73059003.2,0.6354167095802776,3.9781322368946945,8
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f081989","2021-01-01","2021-04-01",23584,1.418095121924096,4747939.466666665,0.041294295583760035,2.8166215757901623,6
"f081989","2021-04-01","2021-07-01",0,0,51507455.99999999,0.44797624901582184,0.8645941606005361,2
"f081989","2021-07-01","2021-10-01",0,0,52073472,0.4528990649390727,0.8740951953324103,2
"f081989","2021-10-01","2022-01-01",0,0,52073472,0.4528990649390727,0.8740951953324103,2
0,0,,,,,,,
"f0118976","2021-01-01","2021-04-01",23552,1.416170976575488,41952875.199999996,0.3648771095882681,3.4374228062960492,7
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f0165533","2021-01-01","2021-04-01",23488,1.412322685878272,17826723.733333338,0.15504452074472475,3.025018708782384,7
"f0165533","2021-04-01","2021-07-01",0,0,51297792,0.4461527364689461,0.861074781385066,2
0,0,,,,,,,
0,0,,,,,,,
"f010303","2020-06-01","2021-01-01",23488,1.412322685878272,70221026.4,0.610733949056094,3.904499305423326,8
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f014365","2020-06-01","2021-01-01",24512,1.473895337033728,53898327.46666664,0.46877039640132423,3.7493448655296504,8
"f014365","2021-01-01","2021-04-01",0,0,52945920.00000001,0.4604870145846805,0.8887399381484333,2
"f014365","2021-04-01","2021-07-01",0,0,53534208,0.4656035369689547,0.8986148263500825,2
"f014365","2021-07-01","2021-10-01",0,0,54122496,0.4707200593532289,0.9084897145517318,2
"f014365","2021-10-01","2022-01-01",0,0,54122496,0.4707200593532289,0.9084897145517318,2
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f01383328","2021-10-01","2022-01-01",23360,1.40462610448384,38368701.599999994,0.3337044450880153,3.3549779606736805,7
"f021309","2020-06-01","2021-01-01",23264,1.398853668438016,59659986.666666664,0.5188813255165869,3.7012285383323835,8
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f01099362","2021-07-01","2021-10-01",23136,1.3911570870435839,16532796,0.14379083171616522,2.9624494832063153,6
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f01250000","2021-07-01","2021-10-01",15200,0.9139690405888,6422649.333333332,0.0558597644016943,1.8717695936316538,4
"f01250000","2021-10-01","2022-01-01",7776,0.467567319711744,47813437.59999999,0.4158482303727068,1.7049920116629897,4
0,0,,,,,,,
"f0127896","2021-01-01","2021-04-01",17056,1.025569470808064,15700635.20000001,0.13655327228861358,2.242896894176588,5
"f0127896","2021-04-01","2021-07-01",4928,0.29631838368563196,43823752.53333331,0.381148707435294,1.307511485863387,3
"f0127896","2021-07-01","2021-10-01",4128,0.248214749970432,54428782.400000006,0.4733839267474283,1.3926854460654703,3
"f0127896","2021-10-01","2022-01-01",4512,0.27130449415372804,62819936.80000002,0.5463643875378936,1.5781009416648297,4
0,0,,,,,,,
0,0,,,,,,,
"f0721545","2021-04-01","2021-07-01",22784,1.369991488208896,25850614.93333333,0.2248307800833156,3.0780069778039683,7
0,0,,,,,,,
0,0,,,,,,,
"f02515","2020-06-01","2021-01-01",23040,1.38538465099776,70204087.2,0.6105866236033027,3.852224559980051,8
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f0152712","2021-01-01","2021-04-01",21952,1.319963709145088,20503721.866666667,0.17832720009881714,2.891701454840737,6
