"0","1","2","3","4","5","6","7","8"
"total_energy_upper_MWh","total_energy_records_found",,,,,,,
"f097498","2020-06-01","2021-01-01",224,0.013469017440256,265027.20000000007,0.0023050233920146644,0.03044389880628238,1
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f0144961","2021-01-01","2021-04-01",224,0.013469017440256,367122.4,0.003192976870798787,0.032157649020335737,1
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f022372","2020-06-01","2021-01-01",224,0.013469017440256,610995.2,0.005314013914076282,0.0362512505138613,1
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f0751590","2021-04-01","2021-07-01",224,0.013469017440256,343800.80000000005,0.00299014171448574,0.03176617716865156,1
0,0,,,,,,,
0,0,,,,,,,
"f0107027","2020-06-01","2021-01-01",224,0.013469017440256,231411.73333333337,0.002012659298819113,0.029879636106414968,1
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f01199962","2021-07-01","2021-10-01",96,0.005772436045824,127356.53333333333,0.001107659094837166,0.01327858362147605,1
"f01199962","2021-10-01","2022-01-01",128,0.007696581394432,476271.2,0.004142277686754017,0.02284899802668901,1
"f023159","2020-06-01","2021-01-01",224,0.013469017440256,594906.1333333333,0.005174082333384376,0.03598118256312593,1
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f01185599","2021-07-01","2021-10-01",224,0.013469017440256,494592,0.004301619341348045,0.03429732898849581,1
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f0515304","2021-04-01","2021-07-01",224,0.013469017440256,444017.60000000003,0.0038617581684680293,0.03344839692483738,1
0,0,,,,,,,
0,0,,,,,,,
"f042498","2020-06-01","2021-01-01",224,0.013469017440256,507045.8666666667,0.004409934465183253,0.03450637717749776,1
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f0118280","2021-01-01","2021-04-01",224,0.013469017440256,417392.5333333333,0.0036301917425290444,0.033001473722775135,1
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f0241285","2021-01-01","2021-04-01",224,0.013469017440256,181157.33333333334,0.0015755812647469055,0.02903607550065561,1
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f019265","2020-06-01","2021-01-01",224,0.013469017440256,676147.2,0.005880660975345992,0.03734487934211184,1
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f0110276","2020-06-01","2021-01-01",224,0.013469017440256,214441.3333333333,0.001865062489994035,0.029594774265382567,1
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f010009","2020-06-01","2021-01-01",224,0.013469017440256,742664.7999999999,0.00645918508147802,0.03846143086694666,1
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f0752215","2021-04-01","2021-07-01",192,0.011544872091648,249813.06666666665,0.002172701376679772,0.026474916793872597,1
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f0816232","2021-04-01","2021-07-01",256,0.015393162788864,319798.6666666666,0.0027813877496414203,0.035076882539315464,1
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f0986118","2021-04-01","2021-07-01",256,0.015393162788864,277013.3333333333,0.002409270494625792,0.0343586962371353,1
0,0,,,,,,,
0,0,,,,,,,
"f022787","2020-06-01","2021-01-01",192,0.011544872091648,515838.13333333336,0.004486403523210117,0.030940361936676163,1
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f08150","2020-06-01","2021-01-01",320,0.019241453486079998,1006741.8666666667,0.008755944870515836,0.05403497882822996,1
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f01209607","2021-07-01","2021-10-01",192,0.011544872091648,155131.4666666667,0.0013492262662255414,0.024885609830695935,1
"f01209607","2021-10-01","2022-01-01",96,0.005772436045824,605153.3333333334,0.005263205395857408,0.021298787982445114,1
0,0,,,,,,,
0,0,,,,,,,
"f0883511","2021-04-01","2021-07-01",192,0.011544872091648,174912.8,0.0015212706301948721,0.02521765545315674,1
0,0,,,,,,,
0,0,,,,,,,
"f014407","2020-06-01","2021-01-01",192,0.011544872091648,636249.6,0.00553365922878849,0.03296156544844243,1
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f017635","2020-06-01","2021-01-01",384,0.023089744183296,1150817.8666666667,0.01000901832949629,0.06388061164968911,1
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f0492481","2021-04-01","2021-07-01",192,0.011544872091648,392473.60000000003,0.0034134640850003563,0.028869588820931325,1
"f0492481","2021-07-01","2021-10-01",0,0,423936,0.0036871022925840384,0.007116107424687194,1
0,0,,,,,,,
"f018425","2020-06-01","2021-01-01",288,0.017317308137472,882439.2,0.007674846197034516,0.04823485786559757,1
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f01336109","2021-10-01","2022-01-01",192,0.011544872091648,377320.5333333333,0.0032816731853212875,0.028615232384550725,1
"f018164","2020-06-01","2021-01-01",192,0.011544872091648,612243.7333333334,0.005324872793991414,0.03255860762928407,1
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f01364420","2021-10-01","2022-01-01",192,0.011544872091648,393414.93333333335,0.0034216511516599914,0.028885389859584422,1
0,0,,,,,,,
0,0,,,,,,,
"f01062833","2021-04-01","2021-07-01",192,0.011544872091648,101626.13333333333,0.0008838738611483443,0.023987479688896942,1
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f0125945","2021-01-01","2021-04-01",192,0.011544872091648,368799.7333333334,0.0032075651567163807,0.028472203889343253,1
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f07964","2020-06-01","2021-01-01",192,0.011544872091648,646911.7333333334,0.005626391094582314,0.03314053794942451,1
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f020763","2020-06-01","2021-01-01",288,0.017317308137472,806186.9333333333,0.007011656689086628,0.04695490211525815,1
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f021069","2020-06-01","2021-01-01",192,0.011544872091648,541131.7333333334,0.004706389772426282,0.03136493539766336,1
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f08497","2020-06-01","2021-01-01",192,0.011544872091648,651447.2000000001,0.005665837448618312,0.03321666941271398,1
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f01015491","2021-04-01","2021-07-01",352,0.021165598834688,251488.8,0.0021872757469033268,0.04507104794247126,1
0,0,,,,,,,
0,0,,,,,,,
"f0109492","2020-06-01","2021-01-01",192,0.011544872091648,207573.33333333326,0.0018053293733314554,0.025765888827410346,1
"f0109492","2021-01-01","2021-04-01",0,0,414720.00000000006,0.0036069478949191684,0.0069614094371939945,1
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f023254","2020-06-01","2021-01-01",192,0.011544872091648,489197.6,0.004254702578895421,0.0304931791141488,1
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f017655","2020-06-01","2021-01-01",192,0.011544872091648,606702.4,0.005276678106969539,0.03246559188333185,1
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f099314","2020-06-01","2021-01-01",192,0.011544872091648,251563.46666666667,0.002187925145958482,0.026504298668580506,1
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f0131857","2021-01-01","2021-04-01",256,0.015393162788864,205769.59999999998,0.001789641747584778,0.03316281275534614,1
"f0131857","2021-04-01","2021-07-01",0,0,559104,0.004862700125002137,0.009385011241254125,1
0,0,,,,,,,
0,0,,,,,,,
"f097695","2020-06-01","2021-01-01",192,0.011544872091648,223506.4,0.0019439041738545562,0.02603333819241993,1
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f0213738","2021-01-01","2021-04-01",192,0.011544872091648,215853.59999999998,0.0018773454092658275,0.025904879776763683,1
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f023517","2020-06-01","2021-01-01",192,0.011544872091648,516987.7333333333,0.004496401949377167,0.030959658899178573,1
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f025011","2020-06-01","2021-01-01",192,0.011544872091648,487201.8666666666,0.004237345069864058,0.03045967912171827,1
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f01157880","2021-07-01","2021-10-01",192,0.011544872091648,311068.2666666667,0.0027054567651173993,0.027503134693557217,1
"f01157880","2021-10-01","2022-01-01",0,0,423936,0.0036871022925840384,0.007116107424687194,1
"f072321","2020-06-01","2021-01-01",192,0.011544872091648,328765.6,0.00285937593760088,0.027800198696450337,1
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f01112955","2021-07-01","2021-10-01",192,0.011544872091648,383808.79999999993,0.003338103643931934,0.028724143169669272,1
0,0,,,,,,,
"f024070","2020-06-01","2021-01-01",288,0.017317308137472,694409.3333333334,0.006039492387825255,0.045078625013823696,1
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
