"0","1","2","3","4","5","6","7","8"
"total_energy_upper_MWh","total_energy_records_found",,,,,,,
0,0,,,,,,,
"f0127980","2021-01-01","2021-04-01",8352,0.502201935986688,12657270.400000004,0.11008418890987343,1.1817122210503634,3
"f0127980","2021-04-01","2021-07-01",32,0.001924145348608,18310656,0.15925342909382,0.31107271867388603,1
"f0127980","2021-07-01","2021-10-01",0,0,18511872,0.16100346677616967,0.3107366908780074,1
0,0,,,,,,,
"f021699","2020-06-01","2021-01-01",8384,0.504126081335296,19606033.599999998,0.1705197280604612,1.3020664121338115,3
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f03512","2020-06-01","2021-01-01",8352,0.502201935986688,21282290.666666664,0.1850986533545312,1.3264901374285532,3
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f017796","2020-06-01","2021-01-01",8288,0.498353645289472,23616886.666666668,0.20540335563001036,1.358251011774601,3
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f01216131","2021-07-01","2021-10-01",8192,0.492581209243648,4278536.533333333,0.03721175333295095,1.0225004177728358,3
"f01216131","2021-10-01","2022-01-01",0,0,18087936,0.15731636448358563,0.30362058345332027,1
"f025028","2020-06-01","2021-01-01",8192,0.492581209243648,16654868.266666666,0.1448525319121561,1.230247120430702,3
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f02772","2020-06-01","2021-01-01",8256,0.496429499940864,19713992,0.1714586756000514,1.2890241787939667,3
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f048172","2020-06-01","2021-01-01",8224,0.49450535459225603,10258009.866666665,0.08921707922124175,1.1265842972600506,3
"f048172","2021-01-01","2021-04-01",32,0.001924145348608,17825173.066666666,0.15503103411791855,0.30292349637039623,1
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f0164326","2021-01-01","2021-04-01",7904,0.47526390110617595,4738114.933333334,0.04120884858379567,0.9967924069016452,2
"f0164326","2021-04-01","2021-07-01",128,0.007696581394432,17518271.733333334,0.15236181845864352,0.30891271171643575,1
0,0,,,,,,,
0,0,,,,,,,
"f020641","2020-06-01","2021-01-01",7936,0.477188046454784,19244628.266666666,0.16737647428374625,1.2440095250253633,3
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f078516","2020-06-01","2021-01-01",7904,0.47526390110617595,8561150.933333334,0.07445897313144274,1.060965147278604,3
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f08482","2020-06-01","2021-01-01",8768,0.527215825518592,19660510.400000002,0.17099352961110248,1.3475440554003104,3
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f010298","2020-06-01","2021-01-01",7808,0.469491465060352,23514810.933333334,0.20451557145883706,1.3008335804820348,3
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f01269788","2021-07-01","2021-10-01",7744,0.465643174363136,2497558.4000000004,0.021722036586896427,0.9406148571335625,2
"f01269788","2021-10-01","2022-01-01",614400,36.9435906932736,224233405.33333302,1.9502271637191888,75.06506846399608,151
"f016056","2020-06-01","2021-01-01",7904,0.47526390110617595,15914738.399999999,0.13841539392860058,1.1844010394171185,3
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f0133486","2021-01-01","2021-04-01",7744,0.465643174363136,11115798.66666667,0.09667753327806385,1.0852789657475157,3
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f019118","2020-06-01","2021-01-01",7840,0.47141561040895996,17712926.666666668,0.15405479251830376,1.207157877649619,3
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f010015","2020-06-01","2021-01-01",7776,0.467567319711744,23239061.06666667,0.20211728972393747,1.292491296210865,3
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f017294","2020-06-01","2021-01-01",7680,0.46179488366592,21331483.46666667,0.18552649832560855,1.2493302672436501,3
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f01438277","2021-10-01","2022-01-01",250976,15.091071969132544,177255189.06666675,1.5416431111774518,32.101140104998294,65
0,0,,,,,,,
0,0,,,,,,,
"f0984680","2021-04-01","2021-07-01",3776,0.227049151135744,1600599.4666666666,0.013920907785739959,0.465072213718464,1
"f0984680","2021-07-01","2021-10-01",4128,0.248214749970432,15454425.600000005,0.134411911374192,0.7384694563951243,2
0,0,,,,,,,
"f019056","2020-06-01","2021-01-01",9632,0.579167749931008,25681840,0.2233628923747369,1.5488841396500874,4
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f048192","2020-06-01","2021-01-01",7776,0.467567319711744,10004227.466666669,0.08700985532693349,1.0703339478246474,3
"f048192","2021-01-01","2021-04-01",0,0,16796160,0.1460813897442263,0.28193708220635677,1
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f09006","2020-06-01","2021-01-01",7552,0.454098302271488,20295810.666666668,0.1765189321947611,1.2170912625198607,3
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f0396473","2021-01-01","2021-04-01",2816,0.169324790677504,1178493.8666666667,0.010249725047136584,0.34657881534855633,1
"f0396473","2021-04-01","2021-07-01",832,0.050027779063807995,6617287.999999999,0.057552596985131814,0.2076301257744538,1
"f0396473","2021-07-01","2021-10-01",3648,0.219352569741312,11445368.533333331,0.09954390417120164,0.6154701946511513,2
"f0396473","2021-10-01","2022-01-01",192,0.011544872091648,16497953.066666666,0.14348779196635938,0.2992130416319543,1
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f01281349","2021-07-01","2021-10-01",224,0.013469017440256,83756.79999999999,0.0007284587515556658,0.027401129050196513,1
"f01281349","2021-10-01","2022-01-01",7648,0.45987073831731196,12149503.2,0.10566798078596087,1.0914897278693165,3
"f023649","2020-06-01","2021-01-01",9152,0.550305569701888,17329681.866666667,0.15072159415652056,1.3529824262467285,3
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f03140","2020-06-01","2021-01-01",7392,0.44447757552844797,22697987.200000003,0.1974114032357789,1.238845729014958,3
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f01109196","2021-07-01","2021-10-01",7392,0.44447757552844797,14102036.533333333,0.12264976607826936,1.0945557693009644,3
0,0,,,,,,,
"f0106090","2020-06-01","2021-01-01",5472,0.32902885461196796,1248960.5333333332,0.010862595405439303,0.655990498533596,2
"f0106090","2021-01-01","2021-04-01",1888,0.113524575567872,15705384.533333335,0.13659457870708608,0.48272996775066906,1
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f023647","2020-06-01","2021-01-01",10592,0.636892110389248,19975494.133333337,0.17373304039881574,1.5645065410209629,4
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f022880","2020-06-01","2021-01-01",7296,0.438705139482624,11856086.933333335,0.1031160489153292,1.0457148936080498,3
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f024127","2020-06-01","2021-01-01",7296,0.438705139482624,15131559.466666669,0.1316038449197954,1.1006963398966694,3
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
