"0","1","2","3","4","5","6","7","8","9","10","11","12","13"
"minerID","start","end","total_energy_records_found","totalSealed_GiB","sealingEnergy_upper_MWh","datapointAverageCapacity_GiB","difference_totalperiod_hours","datapointAvgStorageTime_GiB_hours","datapointAvg_Storage_energy_MWh","integrated_GiB_hr","storage_upper_integrated_MWh","total_energy_upper_MWh_recalc","REC_purchase_with_margin"
"f023626","2020-06-01","2021-01-01",119603,14573344,876.2885022270095,6027697.359274277,5136,30958253637.23269,269.2534909992046,18588833756.80021,161.67282693888137,2003.2653652901695,4007
"f023626","2021-01-01","2021-04-01",39011,5650432,339.7578890758062,17623805.865682352,2160,38067420669.87388,331.08411181087,34211070459.999702,297.54424329337206,1229.993115472514,2460
"f023626","2021-04-01","2021-07-01",88843,11417888,686.5523776914719,25834922.542163793,2184,56423470832.085724,490.7323479500016,55821664891.200584,485.49825585985525,2262.057722754061,4525
"f023626","2021-07-01","2021-10-01",15747,10386560,624.5390972511846,33679205.475903235,2208,74363685690.79434,646.7639360552694,89030304392.53325,774.3240475806823,2699.805869525503,5400
"f023626","2021-10-01","2022-01-01",211,0,0,42028224,2208,92798318592,807.0956305397682,92798318592,807.0956305397682,1557.6945669417526,3116
0,0,,,,,,,,,,,,
0,0,,,,,,,,,,,,
"f01036920","2021-04-01","2021-07-01",44276,21518016,1293.8684499272663,10851832.95216586,2184,23700403167.53024,206.1297244257783,5771751742.400114,50.198707072835,2594.0496130101956,5189
"f01036920","2021-07-01","2021-10-01",8488,20130560,1210.4413559023205,27702137.16277974,2208,61166318855.41767,531.9823616789722,75718680371.73346,658.5487431830664,3607.150891234797,7215
"f01036920","2021-10-01","2022-01-01",210,0,0,41648576,2208,91960055808,799.805000273232,91960055808,799.805000273232,1543.6236505273378,3088
0,0,,,,,,,,,,,,
0,0,,,,,,,,,,,,
0,0,,,,,,,,,,,,
"f01260384","2021-07-01","2021-10-01",2234,24242112,1457.667095163568,12850496.543828264,2208,28373896368.772808,246.77653785204404,4357868697.066677,37.901729656681105,2886.447831903081,5773
"f01260384","2021-10-01","2022-01-01",1946,16940736,1018.6386992623779,34511656.80492813,2208,76201738225.28131,662.7500464912711,89167113707.20004,775.5139204335535,3462.7145560131476,6926
"f022373","2020-06-01","2021-01-01",115606,19394912,1166.2071784831712,9351743.324614214,5136,48030553715.218605,417.7365562666613,30392340012.00034,264.33156546091874,2760.9397758120936,5522
"f022373","2021-01-01","2021-04-01",24168,3891072,233.96837780933836,21736013.624824163,2160,46949789429.62019,408.3368155624681,44382759583.46693,386.0105643573726,1196.559358381752,2394
"f022373","2021-04-01","2021-07-01",68111,7988480,480.34364482650113,27266127.68593367,2184,59549222866.07913,517.9179785418512,58535723276.00104,509.10325966421414,1909.6325256670805,3820
"f022373","2021-07-01","2021-10-01",8581,9699872,583.2488622154056,33396520.41477339,2208,73739517075.81964,641.3353488835448,85280313211.19989,741.709216375349,2557.1690916801563,5115
"f022373","2021-10-01","2022-01-01",20,0,0,40974336,2208,90471333888,786.8571260557744,90471333888,786.8571260557744,1518.6342532876445,3038
0,0,,,,,,,,,,,,
