"0","1","2","3","4","5","6","7","8"
"minerID","start","end","totalSealed_GiB","sealingEnergy_upper_MWh","integrated_GiB_hr","storage_upper_integrated_MWh","total_energy_upper_MWh_recalc","REC_purchase_with_margin"
"f019378","2020-06-01","2021-01-01",224,0.013469017440256,678010.1333333334,0.005896863481772115,0.03737615017951426,1
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f0100645","2020-06-01","2021-01-01",64,0.003848290697216,180891.2,0.0015732666209717454,0.010463605624102349,1
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f019326","2020-06-01","2021-01-01",96,0.005772436045824,336206.9333333333,0.0029240955112941154,0.016784305905237964,1
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f019325","2020-06-01","2021-01-01",64,0.003848290697216,250644.53333333333,0.0021799328990153933,0.011634471540726589,1
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f019239","2020-06-01","2021-01-01",192,0.011544872091648,587535.2,0.005109975050228858,0.032143854983822336,1
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f0822567","2021-04-01","2021-07-01",64,0.003848290697216,108157.86666666667,0.0009406823627803852,0.009242718005793025,1
0,0,,,,,,,
0,0,,,,,,,
"f019109","2020-06-01","2021-01-01",224,0.013469017440256,685452.8,0.005961594651877049,0.03750108133781678,1
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f019077","2020-06-01","2021-01-01",64,0.003848290697216,251913.59999999998,0.0021909703636706916,0.011655773847511316,1
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f018836","2020-06-01","2021-01-01",64,0.003848290697216,253284,0.0022028891556151297,0.01167877711596408,1
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f018752","2020-06-01","2021-01-01",64,0.003848290697216,253033.33333333334,0.0022007090302156797,0.011674569473943143,1
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f018509","2020-06-01","2021-01-01",64,0.003848290697216,253887.2,0.0022081353722678476,0.011688902314103826,1
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f018436","2020-06-01","2021-01-01",64,0.003848290697216,252781.59999999998,0.002198519627686871,0.011670343927062543,1
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f08311","2020-06-01","2021-01-01",480,0.02886218022912,1528302.4,0.013292117873456579,0.0813577953379728,1
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f018393","2020-06-01","2021-01-01",224,0.013469017440256,699526.9333333333,0.006084001735209124,0.03773732700864769,1
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f08322","2020-06-01","2021-01-01",64,0.003848290697216,328704,0.0028588401833803774,0.012944762599551008,1
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f017656","2020-06-01","2021-01-01",64,0.003848290697216,255588.26666666666,0.002222930074313687,0.011717456089052296,1
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f08342","2020-06-01","2021-01-01",64,0.003848290697216,263073.8666666667,0.002288034648875336,0.011843107917956277,1
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f08344","2020-06-01","2021-01-01",96,0.005772436045824,361073.3333333333,0.003140366270201856,0.0172017084699299,1
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f017216","2020-06-01","2021-01-01",64,0.003848290697216,256138.66666666666,0.0022277170730631165,0.011726694996638694,1
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f017215","2020-06-01","2021-01-01",64,0.003848290697216,328704,0.0028588401833803774,0.012944762599551008,1
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f017209","2020-06-01","2021-01-01",64,0.003848290697216,256232.26666666666,0.0022285311411644007,0.011728266148074174,1
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
"f0169136","2021-01-01","2021-04-01",64,0.003848290697216,92203.2,0.000801919700387758,0.008974906067375252,1
0,0,,,,,,,
0,0,,,,,,,
0,0,,,,,,,
