"0","1","2","3","4","5","6","7","8","9","10","11","12","13"
"minerID","start","end","total_energy_records_found","totalSealed_GiB","sealingEnergy_upper_MWh","datapointAverageCapacity_GiB","difference_totalperiod_hours","datapointAvgStorageTime_GiB_hours","datapointAvg_Storage_energy_MWh","integrated_GiB_hr","storage_upper_integrated_MWh","total_energy_upper_MWh_recalc","REC_purchase_with_margin"
0,0,,,,,,,,,,,,
0,0,,,,,,,,,,,,
"f0688165","2021-04-01","2021-07-01",175439,63566784,3822.241617486545,32652286.696952254,2184,71312594146.14372,620.2276507924819,58536783384.00039,509.1124797508187,8359.51340766811,16720
"f0688165","2021-07-01","2021-10-01",30854,92492672,5561.542019035169,79719716.36193933,2208,176021133727.16202,1530.910150845082,253725487142.39978,2206.728905612508,14992.762884570016,29986
"f0688165","2021-10-01","2022-01-01",58,0,0,156059456,2208,344579278848,2996.9123854011345,344579278848,2996.9123854011345,5784.04090382419,11569
0,0,,,,,,,,,,,,
"f0142720","2021-01-01","2021-04-01",111389,50104064,3012.7344278736728,18576584.49943442,2160,40125422518.77834,348.98318934907826,23428866580.799767,203.7680868874367,6207.849853488941,12416
"f0142720","2021-04-01","2021-07-01",95978,59898048,3601.642201559335,82434628.91974287,2184,180037229560.7184,1565.8393763771032,214328358046.93604,1864.0799090443616,10548.843673465133,21098
"f0142720","2021-07-01","2021-10-01",9957,28174400,1694.1137721819136,124487081.29571243,2208,274867475500.93304,2390.607306471442,264418899117.86597,2299.732811415004,7708.123906342051,15417
"f0142720","2021-10-01","2022-01-01",1300,2833792,170.39461549133006,139790175.31182796,2208,308656707088.5161,2684.4826868383616,311143596629.3332,2706.1119330626734,5551.657638709226,11104
0,0,,,,,,,,,,,,
"f0127595","2021-01-01","2021-04-01",204135,96536960,5804.7232047736425,43995872.51134538,2160,95031084624.50601,826.514686145465,80979244345.59993,704.3014923912679,12562.417665528277,25125
"f0127595","2021-04-01","2021-07-01",45685,28221696,1696.957659007156,110863093.50470604,2184,242124996214.27798,2105.835854076007,266764244890.6669,2320.131007783788,7752.981126906521,15506
"f0127595","2021-07-01","2021-10-01",1538,15394496,925.6639960176394,131644248.02077922,2208,290670499629.8805,2528.0510868901915,301037049747.2001,2618.2121741858123,6839.681008492662,13680
"f0127595","2021-10-01","2022-01-01",21,0,0,140152960,2208,309457735680,2691.44947983562,309457735679.99994,2691.4494798356195,5194.497496082746,10389
"f049911","2020-06-01","2021-01-01",141076,23685856,1424.2196765687154,11454445.38117482,5136,58830031477.713875,511.6629489693491,19708213546.133286,171.40841860253397,3079.562223680511,6160
"f049911","2021-01-01","2021-04-01",90319,5056576,304.04959969633893,26189193.87068202,2160,56568658760.673164,491.9950921952421,57696504119.73328,501.804311532762,1555.298048672165,3111
"f049911","2021-04-01","2021-07-01",13526,1464704,88.07198089648537,29603454.42696629,2184,64653944468.49438,562.3153185254065,65494394227.99991,569.6249695931963,1269.3551144450855,2539
"f049911","2021-07-01","2021-10-01",10059,28526144,1715.2639778538128,43824048.95109344,2208,96763500084.01433,841.5820383223529,74008360924.53307,643.6735668479035,4552.749461274312,9106
"f049911","2021-10-01","2022-01-01",34312,65751136,3953.585703127875,96038826.7341241,2208,212053729428.946,1844.2967616066155,233642803381.8724,2032.063603928573,11552.303162618946,23105
0,0,,,,,,,,,,,,
"f0123261","2021-01-01","2021-04-01",203663,66142720,3977.1314697587914,31453431.72723702,2160,67939412530.83196,590.8900487319862,59241545231.99926,515.2420111552817,8670.280818164161,17341
