"minerID","location_code","location","start","end","REC_purchase"
"f067195","[""AS-CN-SOUTH-GD""]","Asia - Mainland China - South - Guangdong","2020-06-01","2021-01-01",1
"f01108733","[""AS-CN-SOUTH-GD""]","Asia - Mainland China - South - Guangdong","2021-07-01","2021-10-01",1
"f01149094","[""NA-US-WEST-WA""]","North America - USA - West - Washington","2021-07-01","2021-10-01",13
"f01149094","[""NA-US-WEST-WA""]","North America - USA - West - Washington","2021-10-01","2022-01-01",18
"f062375","[""AS-KR""]","Asia - Korea","2020-06-01","2021-01-01",1
"f0758230","[""AS-KR""]","Asia - Korea","2021-04-01","2021-07-01",1
"f092776","[""AS-KR""]","Asia - Korea","2020-06-01","2021-01-01",1
"f094085","[""AS-JP""]","Asia - Japan","2020-06-01","2021-01-01",1
"f085904","[""AS-CN-SOUTHWEST-CQ""]","Asia - Mainland China - Southwest - Chongqing","2020-06-01","2021-01-01",1
"f0697132","[""AS-KR""]","Asia - Korea","2021-04-01","2021-07-01",1
"f0751590","[""NA-US-XX""]","North America - USA - Others Combined","2021-04-01","2021-07-01",1
"f0816232","[""AS-KR""]","Asia - Korea","2021-04-01","2021-07-01",1
"f0986118","[""AS-KR""]","Asia - Korea","2021-04-01","2021-07-01",1
"f01209607","[""NA-US-XX""]","North America - USA - Others Combined","2021-07-01","2021-10-01",1
"f01209607","[""NA-US-XX""]","North America - USA - Others Combined","2021-10-01","2022-01-01",1
"f0883511","[""AS-KR""]","Asia - Korea","2021-04-01","2021-07-01",1
"f01015491","[""NA-CA""]","North America - Canada","2021-04-01","2021-07-01",1
"f01112955","[""AS-CN-SOUTHWEST-SC""]","Asia - Mainland China - Southwest - Sichuan","2021-07-01","2021-10-01",1
"f01116796","[""NA-US-XX""]","North America - USA - Others Combined","2021-07-01","2021-10-01",1
"f01017269","[""NA-US-XX""]","North America - USA - Others Combined","2021-04-01","2021-07-01",1
"f072737","[""AS-CN-EAST-SH""]","Asia - Mainland China - East - Shanghai","2020-06-01","2021-01-01",1
"f072737","[""AS-CN-EAST-SH""]","Asia - Mainland China - East - Shanghai","2021-01-01","2021-04-01",1
"f01048957","[""AS-KR""]","Asia - Korea","2021-04-01","2021-07-01",1
"f01099967","[""NA-US-SOUTH-XX""]","North America - USA - South - Others Combined","2021-07-01","2021-10-01",1
"f0845976","[""AS-CN-EAST-ZJ""]","Asia - Mainland China - East - Zhejiang","2021-04-01","2021-07-01",1
