"minerID","location_code","location","start","end","REC_purchase"
"f01079646","[""AS-CN-SOUTH-GD""]","Asia - Mainland China - South - Guangdong","2021-07-01","2021-10-01",2
"f01122113","[""AS-JP""]","Asia - Japan","2021-07-01","2021-10-01",2
"f0403896","[""NA-US-SOUTH-NC""]","North America - USA - South - North Carolina","2021-01-01","2021-04-01",1
"f0403896","[""NA-US-SOUTH-NC""]","North America - USA - South - North Carolina","2021-04-01","2021-07-01",1
"f0706937","[""AS-KR""]","Asia - Korea","2021-04-01","2021-07-01",1
"f0706937","[""AS-KR""]","Asia - Korea","2021-07-01","2021-10-01",1
"f0822674","[""AS-KR""]","Asia - Korea","2021-04-01","2021-07-01",1
"f0822674","[""AS-KR""]","Asia - Korea","2021-07-01","2021-10-01",1
"f0110101","[""AS-KR""]","Asia - Korea","2020-06-01","2021-01-01",1
"f0110101","[""AS-KR""]","Asia - Korea","2021-01-01","2021-04-01",1
"f0395462","[""AS-KR""]","Asia - Korea","2021-01-01","2021-04-01",1
"f0395462","[""AS-KR""]","Asia - Korea","2021-04-01","2021-07-01",1
"f0395459","[""AS-KR""]","Asia - Korea","2021-01-01","2021-04-01",1
"f0395459","[""AS-KR""]","Asia - Korea","2021-04-01","2021-07-01",1
"f0395472","[""AS-KR""]","Asia - Korea","2021-01-01","2021-04-01",1
"f0395472","[""AS-KR""]","Asia - Korea","2021-04-01","2021-07-01",1
"f01099312","[""AS-CN-SOUTH-GD""]","Asia - Mainland China - South - Guangdong","2021-07-01","2021-10-01",1
"f01099312","[""AS-CN-SOUTH-GD""]","Asia - Mainland China - South - Guangdong","2021-10-01","2022-01-01",4
"f029401","[""AS-CN-NORTHWEST-XJ""]","Asia - Mainland China - Northwest - Xinjiang","2020-06-01","2021-01-01",693
